iter	RMSE
0	0.6663950146
1	0.6579732059
2	0.6516535035
3	0.6411151492
4	0.6352092703
5	0.6284210051
6	0.621383092
7	0.6149019628
8	0.6072554953
9	0.6013087799
10	0.5954605042
11	0.5876928418
12	0.5834295384
13	0.5825011709
14	0.5767807028
15	0.5728319671
16	0.5687590962
17	0.5660022896
18	0.5612578468
19	0.5574226268
20	0.5561187079
21	0.5546408947
22	0.5524649866
23	0.5496055658
24	0.5478624888
25	0.5469623257
26	0.5433982359
27	0.5399461478
28	0.5369404084
29	0.534955076
30	0.534611328
31	0.5330753802
32	0.5298178407
33	0.5298178402
34	0.5290667252
35	0.5280974926
36	0.5280257533
37	0.5254672696
38	0.5240830371
39	0.5230553294
40	0.5226270875
41	0.5201148338
42	0.517609591
43	0.5166573351
44	0.5146214787
45	0.5131140882
46	0.5116229604
47	0.5110121108
48	0.5098239712
49	0.5088979559
50	0.5084238988
51	0.5073304413
52	0.5047349169
53	0.5047349001
54	0.5025875513
55	0.5014353587
56	0.5007880918
57	0.5002476715
58	0.4990677744
59	0.4985112465
60	0.4977717369
61	0.4958721927
62	0.4947427632
63	0.4946751921
64	0.4932235362
65	0.4911508946
66	0.4902863748
67	0.4887117968
68	0.4882081822
69	0.4869593831
70	0.4854442614
71	0.4851477918
72	0.4848048005
73	0.4836464035
74	0.4830879929
75	0.4815651658
76	0.480829602
77	0.4793514986
78	0.4779484469
79	0.4764135445
80	0.4764129344
81	0.4759406706
82	0.4744163465
83	0.4738385967
84	0.4732675639
85	0.4716157888
86	0.4709511935
87	0.4700569015
88	0.4693451191
89	0.4689311513
90	0.468298595
91	0.467033461
92	0.4658450169
93	0.4647885011
94	0.4640746141
95	0.4632046362
96	0.4618965031
97	0.4614777274
98	0.4605531598
99	0.4597147487
100	0.4591569835
101	0.4587450668
102	0.4585271801
103	0.4577070336
104	0.4569359098
105	0.4565722808
106	0.4558810779
107	0.4553683695
108	0.455221167
109	0.4547154543
110	0.4540932287
111	0.4526129493
112	0.4522972079
113	0.4515162449
114	0.4507289767
115	0.450113224
116	0.4497368473
117	0.4493494954
118	0.4489268144
119	0.4479098535
120	0.4471698954
121	0.4452817913
122	0.444032005
123	0.4438260522
124	0.443669365
125	0.4430810267
126	0.4421811039
127	0.4417708281
128	0.4414396791
129	0.44012106
130	0.4392924043
131	0.4392604483
132	0.4386685314
133	0.4374786459
134	0.4374578154
135	0.4361421557
136	0.4351887365
137	0.4346190676
138	0.4346027235
139	0.4340486881
140	0.432943661
141	0.4326438537
142	0.4309872375
143	0.4303121181
144	0.429189212
145	0.4285675686
146	0.4281294479
147	0.4272010206
148	0.4263707643
149	0.4254215325
150	0.4245516433
151	0.4241781291
152	0.4237916441
153	0.4227241686
154	0.4216306198
155	0.4207960341
156	0.4201871014
157	0.4190555321
158	0.418443755
159	0.4176636321
160	0.4170039203
161	0.4156260733
162	0.4149216877
163	0.4143964466
164	0.413770759
165	0.4133985232
166	0.4120413384
167	0.4110720637
168	0.4101595909
169	0.409791447
170	0.409011955
171	0.4083497818
172	0.4079994943
173	0.4075904493
174	0.4061358256
175	0.4057707773
176	0.4054698723
177	0.4050815029
178	0.4050774211
179	0.4047751003
180	0.4038895656
181	0.4031833368
182	0.4025396017
183	0.4021110623
184	0.4011339778
185	0.4008207245
186	0.4007102003
187	0.4006719907
188	0.3999459674
189	0.3996754022
190	0.3993461069
191	0.3992282372
192	0.3988791078
193	0.3975061667
194	0.3973817327
195	0.3963283902
196	0.3963043078
197	0.3959581547
198	0.3955993843
199	0.3944245704
200	0.3940398062
201	0.3936857187
202	0.3922629801
203	0.3918522668
204	0.39145938
205	0.3909339551
206	0.3902963623
207	0.3900934305
208	0.3892921468
209	0.3880938006
210	0.3871984306
211	0.3861433083
212	0.3857593011
213	0.3853593686
214	0.3850967166
215	0.3845765277
216	0.3837240365
217	0.3831351453
218	0.3828663526
219	0.3825446343
220	0.3820001997
221	0.381133491
222	0.3808332917
223	0.3803132431
224	0.3795335902
225	0.3794055995
226	0.3786790858
227	0.3784512379
228	0.3778480946
229	0.3776947717
230	0.3771475435
231	0.3767708529
232	0.3761045696
233	0.3755926904
234	0.3752228515
235	0.3749576379
236	0.3739417622
237	0.3731481448
238	0.3726146218
239	0.3717061703
240	0.3712976536
241	0.3706250767
242	0.3701278408
243	0.3697087852
244	0.3695273062
245	0.3691282554
246	0.367940814
247	0.3677999432
248	0.3676102585
249	0.3672688861
250	0.3668254184
251	0.3664317247
252	0.3657801438
253	0.3652826024
254	0.3646721879
255	0.3642461268
256	0.3633595723
257	0.3630971789
258	0.3627493936
259	0.3624298535
260	0.3616547775
261	0.3613263091
262	0.3601564057
263	0.3598127795
264	0.3595176981
265	0.359047328
266	0.3587714553
267	0.3581610319
268	0.3573160844
269	0.3569952691
270	0.3563523994
271	0.3561356479
272	0.3554858881
273	0.3543993135
274	0.354042484
275	0.3537240082
276	0.3532224574
277	0.3525820721
278	0.3518271902
279	0.3514201893
280	0.3511615408
281	0.3502658712
282	0.3500552489
283	0.3498359309
284	0.349444963
285	0.3490925237
286	0.3487393924
287	0.3485449698
288	0.347574154
289	0.3475227098
290	0.3474332833
291	0.3466375123
292	0.3463198112
293	0.3455835483
294	0.3449450424
295	0.3440028536
296	0.343591833
297	0.3430082937
298	0.3428664615
299	0.3421866725
